scene_stimulus,scene_label,scene_img,correct_key,thisN,thisTrialN,thisRepN,conditionFile,scene_image,scene_name,scene_present,spaceKey.keys,spaceKey.rt,spaceKey.duration,group,Image1,Image2,Image3,scene_name_showALL,key_p1_2.keys,key_p1_2.rt,key_p1_2.duration,scene_name_p2,key_part2.keys,key_part2.corr,key_part2.rt,key_part2.duration,qst_num,question,options,correct_answer,label_current,scene_left,scene_right,key_rate_2.keys,key_rate_2.corr,key_rate_2.rt,key_rate_2.duration,key_question_2.keys,key_question_2.corr,key_question_2.rt,key_question_2.duration,key_sceneLearn.keys,key_sceneLearn.rt,key_sceneLearn.duration,scene_label_loader.thisRepN,scene_label_loader.thisTrialN,scene_label_loader.thisN,scene_label_loader.thisIndex,groups_loop.thisRepN,groups_loop.thisTrialN,groups_loop.thisN,groups_loop.thisIndex,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,groups_loop_p1_2.thisRepN,groups_loop_p1_2.thisTrialN,groups_loop_p1_2.thisN,groups_loop_p1_2.thisIndex,part2_loop.thisRepN,part2_loop.thisTrialN,part2_loop.thisN,part2_loop.thisIndex,p3_scene_loop.thisRepN,p3_scene_loop.thisTrialN,p3_scene_loop.thisN,p3_scene_loop.thisIndex,p3_vis_loop.thisRepN,p3_vis_loop.thisTrialN,p3_vis_loop.thisN,p3_vis_loop.thisIndex,skip_loop.thisRepN,skip_loop.thisTrialN,skip_loop.thisN,skip_loop.thisIndex,loop_msg.thisRepN,loop_msg.thisTrialN,loop_msg.thisN,loop_msg.thisIndex,thisRow.t,notes,instructions_overall.started,text_instructions.started,key_welcome.started,instructions_overall.stopped,key_welcome.keys,key_welcome.rt,key_welcome.duration,scene_label_2.started,scene_label_2.stopped,p1_instruction.started,txt_insturctions_p1.started,key_instructions_p1.started,p1_instruction.stopped,key_instructions_p1.keys,key_instructions_p1.rt,key_instructions_p1.duration,p1.started,trial_image.started,scene_name_part1.started,text_scenename.started,txt_memorize.started,spaceKey.started,p1.stopped,trials_loop.spaceKey.keys,trials_loop.spaceKey.rt,trials_loop.spaceKey.duration,p1_2_instructions.started,text_p1_2_instructions.started,key_p1_2_instructions.started,p1_2_instructions.stopped,key_p1_2_instructions.keys,key_p1_2_instructions.rt,key_p1_2_instructions.duration,p1_2_showALL_2.started,image_left.started,image_center.started,image_right.started,key_p1_2.started,txt_scenename_showALL.started,p1_2_showALL_2.stopped,groups_loop_p1_2.key_p1_2.keys,groups_loop_p1_2.key_p1_2.rt,groups_loop_p1_2.key_p1_2.duration,p1_3_instructions_wide.started,text_instructions_p1_3.started,key_instructions_p1_3.started,p1_3_instructions_wide.stopped,key_instructions_p1_3.keys,key_instructions_p1_3.rt,key_instructions_p1_3.duration,p1_compare.started,img1.started,img2.started,img3.started,img4.started,label1.started,label2.started,label3.started,label4.started,key_p1_compare.started,p1_compare.stopped,key_p1_compare.keys,key_p1_compare.rt,key_p1_compare.duration,p1_3_instructions_close.started,text_instructions_p1.started,key_instructions_p1_4.started,p1_3_instructions_close.stopped,key_instructions_p1_4.keys,key_instructions_p1_4.rt,key_instructions_p1_4.duration,p1_compare_2.started,img1_2.started,img2_2.started,img3_2.started,img4_2.started,label1_2.started,label2_2.started,label3_2.started,label4_2.started,key_p1_compare_2.started,p1_compare_2.stopped,key_p1_compare_2.keys,key_p1_compare_2.rt,key_p1_compare_2.duration,p2_instructions.started,text_instructions_part2.started,key_resp.started,p2_instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,p2.started,p2.stopped,part2_question.started,text_part2_question.started,key_part2.started,part2_question.stopped,part2_loop.key_part2.keys,part2_loop.key_part2.corr,part2_loop.key_part2.rt,part2_loop.key_part2.duration,part2_feedback.started,text_part2_feedback.started,part2_feedback.stopped,scene_part2.started,text_part2_feedback.stopped,part3_instructions_2.started,text_part3_instructions_2.started,key_part3_instructions_2.started,part3_instructions_2.stopped,key_part3_instructions_2.keys,key_part3_instructions_2.rt,key_part3_instructions_2.duration,p3_reset_vis_vars.started,p3_reset_vis_vars.stopped,p3_skip_answered_questions.started,p3_skip_answered_questions.stopped,p3_blank1000.started,text.started,p3_blank1000.stopped,p3_visualize.started,text_p3_visualize.started,textbox_scene_name_2.started,p3_visualize.stopped,p3_rate.started,text_rate_2.started,key_rate_2.started,p3_rate.stopped,p3_vis_loop.key_rate_2.keys,p3_vis_loop.key_rate_2.corr,p3_vis_loop.key_rate_2.rt,p3_vis_loop.key_rate_2.duration,p3_question.started,text_question_2.started,text_option_2.started,key_question_2.started,text_5.started,p3_question.stopped,p3_vis_loop.key_question_2.keys,p3_vis_loop.key_question_2.corr,p3_vis_loop.key_question_2.rt,p3_vis_loop.key_question_2.duration,text.stopped,text_p3_visualize.stopped,textbox_scene_name_2.stopped,p3_study_again.started,study_scene_left.started,study_scene_right.started,study_name1_2.started,key_sceneLearn.started,text_6.started,text_7.started,p3_study_again.stopped,skip_loop.key_sceneLearn.keys,skip_loop.key_sceneLearn.rt,skip_loop.key_sceneLearn.duration,p3_correct_msg.started,text_next_scene_2.started,p3_correct_msg.stopped,key_question_2.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.011421167000662535,0.024356250010896474,0.9915774170076475,1.8858321250008885,space,0.28406262400676496,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
JA,Somar,stimuli/TESTscenes/JA_1.jpg,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9152112920128275,,,,,,,,,1.8953233339998405,1.8953723340237048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
JB,Negvi,stimuli/TESTscenes/JB_1.jpg,2,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9152112920128275,,,,,,,,,1.8954602920275647,1.895493042015005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
UA,Malbow,stimuli/TESTscenes/UA_1.jpg,3,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9152112920128275,,,,,,,,,1.8955628750263713,1.8955917500134092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
UB,Tulon,stimuli/TESTscenes/UB_1.jpg,4,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9152112920128275,,,,,,,,,1.8956589170265943,1.8956873340066522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8957270420214627,1.9152112920128275,1.9152112920128275,2.770801709004445,space,0.8532272909942549,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
,,,4,0,0,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_1.png,Somar,This is a scene from a sea named,space,3.0023050000017975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,6.0789587090257555,,,,,,,,,,,,,,,,,,6.063572500017472,6.0789587090257555,6.0789587090257555,6.0789587090257555,6.0789587090257555,6.0789587090257555,9.08572070900118,space,3.0023050000017975,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
,,,4,1,1,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_2.png,Somar,This is a scene from a sea named,space,1.841915624012472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,10.52390075000585,,,,,,,,,,,,,,,,,,10.511529542010976,10.52390075000585,10.52390075000585,10.52390075000585,10.52390075000585,10.52390075000585,12.369004792009946,space,1.841915624012472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
,,,4,2,2,0,scenes_group4.xlsx,stimuli/TESTscenes/p1_scenes/p1_UB_3.png,Somar,This is a scene from a sea named,space,1.4620402079890482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,13.743711500021163,,,,,,,,,,,,,,,,,,13.732952792022843,13.743711500021163,13.743711500021163,13.743711500021163,13.743711500021163,13.743711500021163,15.211055874999147,space,1.4620402079890482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
,,,,0,0,0,scenes_group4.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520,001,2026-04-26_11h55.46.794,TEST_training_task,,2025.2.4,None,2026-04-26 11h55.57.165990 +0200,
